Prerequisite_1_grade,Face_to_Face,Course,Blended,Faculty,Availability,Int_Fees,Online,Local_Fees,Part_Time,Prerequisite_2_grade,Full_Time,Duration_Time,Remarks,Website,City,Prerequisite_1,Level_Code,Course_Lang,Distance,Currency,Description,Offline,Currency_Time,Prerequisite_2,Duration,University,Career_Outcomes,Prerequisite_3,Country,Prerequisite_3_grade
6.5,yes,Master of Geographic Information Science,no,Humanities and Social Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-geographic-information-science,Perth,IELTS,PG,English,no,AUD,"Everything on the Earth exists in some place and time. Location is an important part of understanding the nature of a phenomenon and its relationships with other aspects of a system. The Master of Geographic Information Science provides a grounding in both theory and practice. You will be competent in advanced Geographic Information Systems (GIS) techniques, spatial problem solving, and implementation and management of GIS projects.  ",yes,year,,2,Australian Catholic University,Agricultural Consultant / Agricultural Scientist / Analyst / Anthropologist,,Australia,
6.5,yes,Master of Industrial and Organisational Psychology,no,Engineering,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-industrial-and-organisational-psychology,Perth,IELTS,PG,English,no,AUD,"Industrial and organisational psychology is a specialist area that applies psychological knowledge and skills to workplaces with the aim of improving organisational effectiveness and the quality of work life. Upon completion of this course, you will gain specialised, highly developed skills in assessment, treatment and intervention, and research, required for accreditation and registration.",yes,year,,2,Australian Catholic University,Workplace Relations Adviser / Psychologist / Human Resource Professional / Market Research Analyst,,Australia,
6.5,yes,Master of Information Technology (IT),no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-information-technology,Perth,IELTS,PG,English,no,AUD,"This course provides its graduates with the necessary knowledge and skills to explain and apply appropriate information technology (IT) methodologies to help an individual or organisation achieve its goals and objectives. You'll also learn to appreciate the scientific foundations on which IT is built, and to anticipate the changing direction of IT and evaluate and communicate the effectiveness of new technologies.",yes,year,,1.5,Australian Catholic University,Analyst / Computer Network Professional / Developer Programmer / Management Consultant,,Australia,
6.5,yes,Master of Public Health with Specialisation,no,English,A,,yes,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-public-health-specialisation,Perth,IELTS,PG,English,no,AUD,"The Master of Public Health with Specialisation offers the chance to specialise in Public Health Foundations, Applied Public Health or Public Health Methodology.",yes,year,,2,Australian Catholic University,Policy Analyst / Program or Project Manager / Research Officer / Health Promotion Officer,,Australia,
6.5,yes,Graduate Certificate in International Relations,no,Humanities and Social Science,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-international-relations,Perth,IELTS,PG,English,no,AUD,A professionally oriented course for graduates and practitioners seeking expertise in international relations.,yes,year,,6,Australian Catholic University,Foreign Affairs and Trade Officer / Journalist / Parliamentarian / Policy Analyst,,Australia,
6.5,yes,Master of Data Science,no,Computer Science & Information Technology,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-data-science,Perth,IELTS,PG,English,no,AUD,"A rapidly expanding field that shows no sign of slowing. Big data and analytics now drive and inform strategic decision making and innovation whether it is in relation to engineering, finance, health or other professional areas. The challenge for organisations around the world is how to harness ever increasing volumes of data as an asset. ",yes,year,,1.5,Australian Catholic University,Analyst / Intelligence Analyst / Management Consultant / Managing Director,,Australia,
6.5,yes,Graduate Diploma in International Law,no,Law,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-international-law,Perth,IELTS,PG,English,no,AUD,Develop your understanding of international law and how international institutions work.,yes,year,,6,Australian Catholic University,Academic / Chief Executive / Lawyer / Foreign Affairs and Trade Officer,,Australia,
6.5,yes,Graduate Diploma in International Commercial Law,no,Law,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-international-commercial-law,Perth,IELTS,PG,English,no,AUD,"In a globalised and internationalised world, organisations and individuals can no longer afford to view commerce within the confines of one jurisdiction and market. This course equips you with a broad understand of both commerce and law.",yes,year,,6,Australian Catholic University,Academic / Business Administration Manager / Chief Executive / Corporate General Manager,,Australia,
6.5,yes,Master of Biological Science,no,Medical and Nursing,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-biological-science,Perth,IELTS,PG,English,no,AUD,"The Master of Biological Science will give you an understanding of the molecular evolution, structure, physiology, reproduction, behaviour and ecology of organisms, and the skills to apply this knowledge to the management of natural systems and the species they support.",yes,year,,1.5,Australian Catholic University,Biologist / Botanist / Conservation Officer / Marine Biologist,,Australia,
6.5,yes,Master of Hydrogeology,no,Science and Health Science,A,,no,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-hydrogeology,Perth,IELTS,PG,English,no,AUD,"Hydrogeological systems are complex and their dynamics are controlled by a variety of physical, chemical and biological processes. Hydrogeologists aim to understand these processes and how best to utilise groundwater resources both now and for future generations. Hydrogeologists are also critical in the mining, construction and other industries to ensure anthropogenic impacts are minimised and safe working conditions are provided.",yes,year,,2,Australian Catholic University,Environmental Consultant / Environmental Manager,,Australia,
6.5,yes,Master of Agricultural Economics,no,Agriculture,A,,yes,,yes,,yes,years,,https://www.uwa.edu.au/study/courses/master-of-agricultural-economics,Perth,IELTS,PG,English,no,AUD,"Are you looking for professional masters training in agricultural or applied economics that is well rounded, rigorous, and of immediate relevance to your career? From 2018 UWA is offering a new Master in Agricultural Economics degree. The degree offers technical and applied training across areas that are immediately relevant to careers in consulting, many industry sectors, and government and non-governmental organisations.",yes,year,,2,Australian Catholic University,Agricultural Consultant / Agricultural Scientist / Economist / Policy Analyst,,Australia,
6.5,yes,Graduate Certificate in Forensic Anthropology,no,Humanities and Social Science,A,,no,,yes,,yes,months,,https://www.uwa.edu.au/study/courses/graduate-certificate-in-forensic-anthropology,Perth,IELTS,PG,English,no,AUD,This course will acquaint you with current developments in forensic sciences of direct relevance to the application to forensic anthropology. ,yes,year,,6,Australian Catholic University,Anatomist or Physiologist / Anthropologist,,Australia,
6.5,yes,Doctor of Optometry,no,Science and Health Science,A,,no,,no,,yes,years,,https://www.uwa.edu.au/study/courses/doctor-of-optometry,Perth,IELTS,DPG,English,no,AUD,"The Doctor of Optometry (DOpt) is an exciting new postgraduate course designed to meet the growing demand for eyecare in Australia. This course prepares you with the professional attributes and skills required for professional practice, so you can deliver safe and responsive person-centred care. Theory and problem-based learning will direct you through the program. The Doctor of Optometry will see you regularly apply your theoretical knowledge in real-world situations, with an emphasis on clinical practice in metro, rural and remote regions of WA, eyecare research and integration into public and private eyecare pathways. Your hands-on and industry supported degree has strong employment and salary prospects.
 ",yes,year,,3,Australian Catholic University,Anatomist or Physiologist / Anthropologist,,Australia,
